"Atrocities Against Dalit Women â€“ Rape Cases",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Andhra Pradesh",69,98,79,66,74,97,105,88,99,100,131,104
"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0
"Assam",0,0,7,1,14,11,8,16,0,0,0,0
"Bihar",35,36,6,14,16,19,32,23,19,16,29,39
"Chhattisgarh",52,64,46,77,59,49,57,55,55,44,40,63
"Delhi",0,0,0,0,0,0,0,0,0,0,0,0
"Goa",0,0,0,0,1,0,0,0,0,0,0,0
"Gujarat",15,17,23,19,20,19,30,30,28,34,45,45
"Haryana",25,26,24,33,35,31,21,60,32,37,56,67
"Himachal Pradesh",7,12,7,6,9,11,6,5,7,5,5,13
"Jammu and Kashmir",1,4,2,0,0,0,0,0,0,0,0,0
"Jharkhand",11,9,3,9,8,15,12,21,8,10,15,8
"Karnataka",20,22,26,14,30,27,20,29,39,27,32,43
"Kerala",75,48,24,49,44,62,69,67,62,77,106,99
"Madhya Pradesh",305,412,349,335,340,335,343,357,321,316,327,367
"Maharashtra",51,64,72,63,83,87,80,93,105,89,95,97
"Manipur",0,0,0,0,0,0,0,0,0,0,0,0
"Meghalaya",0,0,0,0,0,0,0,0,0,0,0,0
"Mizoram",0,0,0,0,0,0,0,0,0,0,0,0
"Nagaland",0,3,2,0,0,1,0,0,0,0,0,0
"Odisha",44,38,29,45,33,52,57,48,63,51,35,79
"Punjab",10,12,8,9,9,11,1,5,11,18,9,12
"Rajasthan",151,123,154,126,136,132,153,153,163,200,216,202
"Sikkim",0,1,2,1,0,0,4,3,1,0,2,3
"Tamil Nadu",27,33,25,23,19,21,27,17,11,11,11,34
"Tripura",0,0,0,1,5,0,1,2,0,0,2,4
"Uttar Pradesh",412,305,194,258,224,229,318,375,317,311,397,285
"Uttarakhand",2,3,6,6,12,6,4,6,9,3,3,5
"West Bengal",3,1,0,2,1,2,1,0,0,1,1,7
"Andaman and Nicobar",0,0,0,0,0,0,0,0,0,0,0,0
"Chandigarh",1,0,1,0,0,0,0,0,0,0,0,0
"Dadra and Nagar Haveli",0,0,0,0,0,0,0,0,0,0,0,0
"Daman and Diu",0,0,0,0,0,0,0,0,0,0,0,0
"Lakshadweep",0,0,0,0,0,0,0,0,0,0,0,0
"Puducherry",0,0,0,0,0,0,0,0,0,0,0,0
"ALL INDIA",1312,1330,1088,1155,1171,1215,1348,1453,1350,1349,1556,1569
